Node name;Core ID;Core frequency;Intranode rate;Internode rate
Node0;0;3;500.0;10.0 
Node0;1;3;500.0;10.0 
Node0;2;3;500.0;10.0 
Node0;3;3;500.0;10.0 
Node0;4;3;500.0;10.0 
Node0;5;3;500.0;10.0 
Node1;6;3;500.0;10.0 
Node1;7;3;500.0;10.0 
Node1;8;3;500.0;10.0 
Node1;9;3;500.0;10.0 
Node1;10;3;500.0;10.0 
Node1;11;3;500.0;10.0 
Node2;12;3;500.0;10.0 
Node2;13;3;500.0;10.0 
Node2;14;3;500.0;10.0 
Node2;15;3;500.0;10.0 
Node2;16;3;500.0;10.0 
Node2;17;3;500.0;10.0 
Node3;18;3;500.0;10.0 
Node3;19;3;500.0;10.0 
Node3;20;3;500.0;10.0 
Node3;21;3;500.0;10.0 
Node3;22;3;500.0;10.0 
Node3;23;3;500.0;10.0 
Node4;24;3;500.0;10.0 
Node4;25;3;500.0;10.0 
Node4;26;3;500.0;10.0 
Node4;27;3;500.0;10.0 
Node4;28;3;500.0;10.0 
Node4;29;3;500.0;10.0 
Node5;30;3;500.0;10.0 
Node5;31;3;500.0;10.0 
Node5;32;3;500.0;10.0 
Node5;33;3;500.0;10.0 
Node5;34;3;500.0;10.0 
Node5;35;3;500.0;10.0 
Node6;36;3;500.0;10.0 
Node6;37;3;500.0;10.0 
Node6;38;3;500.0;10.0 
Node6;39;3;500.0;10.0 
Node6;40;3;500.0;10.0 
Node6;41;3;500.0;10.0 
Node7;42;3;500.0;10.0 
Node7;43;3;500.0;10.0 
Node7;44;3;500.0;10.0 
Node7;45;3;500.0;10.0 
Node7;46;3;500.0;10.0 
Node7;47;3;500.0;10.0 
Node8;48;3;500.0;10.0 
Node8;49;3;500.0;10.0 
Node8;50;3;500.0;10.0 
Node8;51;3;500.0;10.0 
Node8;52;3;500.0;10.0 
Node8;53;3;500.0;10.0 
Node9;54;3;500.0;10.0 
Node9;55;3;500.0;10.0 
Node9;56;3;500.0;10.0 
Node9;57;3;500.0;10.0 
Node9;58;3;500.0;10.0 
Node9;59;3;500.0;10.0 
Node10;60;3;500.0;10.0 
Node10;61;3;500.0;10.0 
Node10;62;3;500.0;10.0 
Node10;63;3;500.0;10.0 
Node10;64;3;500.0;10.0 
Node10;65;3;500.0;10.0 
Node11;66;3;500.0;10.0 
Node11;67;3;500.0;10.0 
Node11;68;3;500.0;10.0 
Node11;69;3;500.0;10.0 
Node11;70;3;500.0;10.0 
Node11;71;3;500.0;10.0 
Node12;72;3;500.0;10.0 
Node12;73;3;500.0;10.0 
Node12;74;3;500.0;10.0 
Node12;75;3;500.0;10.0 
Node12;76;3;500.0;10.0 
Node12;77;3;500.0;10.0 
Node13;78;3;500.0;10.0 
Node13;79;3;500.0;10.0 
Node13;80;3;500.0;10.0 
Node13;81;3;500.0;10.0 
Node13;82;3;500.0;10.0 
Node13;83;3;500.0;10.0 
Node14;84;3;500.0;10.0 
Node14;85;3;500.0;10.0 
Node14;86;3;500.0;10.0 
Node14;87;3;500.0;10.0 
Node14;88;3;500.0;10.0 
Node14;89;3;500.0;10.0 
Node15;90;3;500.0;10.0 
Node15;91;3;500.0;10.0 
Node15;92;3;500.0;10.0 
Node15;93;3;500.0;10.0 
Node15;94;3;500.0;10.0 
Node15;95;3;500.0;10.0 
Node16;96;3;500.0;10.0 
Node16;97;3;500.0;10.0 
Node16;98;3;500.0;10.0 
Node16;99;3;500.0;10.0 
Node16;100;3;500.0;10.0 
Node16;101;3;500.0;10.0 
Node17;102;3;500.0;10.0 
Node17;103;3;500.0;10.0 
Node17;104;3;500.0;10.0 
Node17;105;3;500.0;10.0 
Node17;106;3;500.0;10.0 
Node17;107;3;500.0;10.0 
Node18;108;3;500.0;10.0 
Node18;109;3;500.0;10.0 
Node18;110;3;500.0;10.0 
Node18;111;3;500.0;10.0 
Node18;112;3;500.0;10.0 
Node18;113;3;500.0;10.0 
Node19;114;3;500.0;10.0 
Node19;115;3;500.0;10.0 
Node19;116;3;500.0;10.0 
Node19;117;3;500.0;10.0 
Node19;118;3;500.0;10.0 
Node19;119;3;500.0;10.0 
